               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13391,            0.067872,            0.014023,             0.68212,             0.27503,              0.1775,            0.051337,            0.096073,            0.097638,           0.0053279,            0.070159,           0.0033157,           0.0033157
                   1,             0.10872,            0.085437,           0.0068236,             0.78611,             0.36287,             0.33058,             0.11235,            0.086095,             0.10588,             0.00446,              0.0395,           0.0059908,           0.0059908
                   2,             0.10327,            0.087691,           0.0058116,             0.82563,             0.35489,             0.37149,             0.13117,            0.079029,             0.10748,           0.0037996,           0.0081822,           0.0080059,           0.0080059
                   3,            0.097154,            0.088173,           0.0051711,             0.88456,             0.42584,              0.4364,             0.16472,            0.075122,             0.10294,           0.0029146,             0.00703,             0.00703,             0.00703
                   4,            0.093157,             0.08631,            0.004579,             0.94693,             0.43783,             0.46317,             0.16469,            0.071528,             0.10601,           0.0025759,             0.00703,             0.00703,             0.00703
                   5,            0.088458,            0.085851,           0.0041852,             0.94618,              0.4474,             0.47305,             0.18975,            0.070462,             0.10689,           0.0022295,             0.00604,             0.00604,             0.00604
                   6,            0.085247,            0.084223,             0.00383,             0.45763,             0.46463,             0.48202,             0.21308,            0.067209,             0.10637,           0.0022607,             0.00505,             0.00505,             0.00505
                   7,            0.082549,            0.082844,           0.0036663,              0.4728,             0.46873,             0.48465,             0.22257,            0.065831,             0.10195,           0.0019674,             0.00406,             0.00406,             0.00406
                   8,            0.079839,            0.081604,           0.0034921,             0.47519,             0.46813,              0.4878,             0.23966,            0.064068,            0.097562,           0.0016589,             0.00307,             0.00307,             0.00307
                   9,             0.07779,            0.079313,           0.0033729,              0.4797,             0.47663,             0.49003,             0.23677,            0.064008,            0.094925,           0.0015036,             0.00208,             0.00208,             0.00208
